kind,class_source,field_source,destination_name,suggested_name,unresolved_tokens,xpath_hint
class-field,gest.horaire.ModeleHoraire,mPermetHoraireWeb,permetHoraireWeb,permetHoraireWeb,Web,/classes/class[@source='gest.horaire.ModeleHoraire']/field[@source='mPermetHoraireWeb']
class-field,gest.horaire.ModeleHoraire,mPostSupprimer,postSupprimer,postSupprimer,post,/classes/class[@source='gest.horaire.ModeleHoraire']/field[@source='mPostSupprimer']
class-field,gest.horaire.ModeleHoraire,mReservSensRonde,reservSensRonde,reservSensRonde,Sens,/classes/class[@source='gest.horaire.ModeleHoraire']/field[@source='mReservSensRonde']
class-field,gest.horaire.ModeleHoraire,mTextCourriel,textCourriel,textCourriel,text,/classes/class[@source='gest.horaire.ModeleHoraire']/field[@source='mTextCourriel']
class-field,gest.horaire.ModeleHoraire,mTextCourrielOnComplet,textCourrielOnComplet,textCourrielOnComplet,text|On,/classes/class[@source='gest.horaire.ModeleHoraire']/field[@source='mTextCourrielOnComplet']
class-field,gest.horaire.ModeleHoraire,mTextCourrielPaget,textCourrielPaget,textCourrielPaget,text,/classes/class[@source='gest.horaire.ModeleHoraire']/field[@source='mTextCourrielPaget']
class-field,gest.horaire.ModeleHoraire,mTypeAttrib,typeAttrib,typeAttrib,type,/classes/class[@source='gest.horaire.ModeleHoraire']/field[@source='mTypeAttrib']
class-field,gest.horaire.ModeleHoraire,mTypeDispo,typeDispo,typeDisponible,type,/classes/class[@source='gest.horaire.ModeleHoraire']/field[@source='mTypeDispo']
class-field,gest.horaire.ModeleHoraire,mTypeHoraire,typeHoraire,typeHoraire,type,/classes/class[@source='gest.horaire.ModeleHoraire']/field[@source='mTypeHoraire']
class-field,gest.horaire.ModeleHoraire,mVectEmployeesExportedToXLS,listeEmployeesExportedToXLS,listeEmployeesExportedToXls,To|XLS,/classes/class[@source='gest.horaire.ModeleHoraire']/field[@source='mVectEmployeesExportedToXLS']
class-field,gest.horaire.ModeleHoraire,mVectHorRestrictEmploye,listeHorRestrictEmploye,listeHorRestrictEmploye,Hor,/classes/class[@source='gest.horaire.ModeleHoraire']/field[@source='mVectHorRestrictEmploye']
class-field,gest.horaire.ModeleHoraire,mVectIDEmployeesExportedInXLS,listeIDEmployeesExportedInXLS,listeIdEmployeesExportedInXls,In|XLS,/classes/class[@source='gest.horaire.ModeleHoraire']/field[@source='mVectIDEmployeesExportedInXLS']
class-field,gest.horaire.ModeleHoraire,mVectIDProf,listeIDProf,listeIdProf,Prof,/classes/class[@source='gest.horaire.ModeleHoraire']/field[@source='mVectIDProf']
class-field,gest.horaire.ModeleHoraire,mVectModeleHorQuart,listeModeleHorQuart,listeModeleHorQuart,Hor,/classes/class[@source='gest.horaire.ModeleHoraire']/field[@source='mVectModeleHorQuart']
class-field,gest.horaire.ModeleHoraire,mVectNivDispo,listeNivDispo,listeNivDisponible,Niv,/classes/class[@source='gest.horaire.ModeleHoraire']/field[@source='mVectNivDispo']
class-field,gest.horaire.ModeleHoraire,mVectPostSupprimer,listePostSupprimer,listePostSupprimer,Post,/classes/class[@source='gest.horaire.ModeleHoraire']/field[@source='mVectPostSupprimer']
class-field,gest.horaire.ModeleHoraire,mVectTypeChampPerso,listeTypeChampPerso,listeTypeChampPerso,Type,/classes/class[@source='gest.horaire.ModeleHoraire']/field[@source='mVectTypeChampPerso']
class-field,gest.horaire.ModeleHoraire,mWebAffEnCours,webAffEnCours,webAffEnCours,web|Aff|En,/classes/class[@source='gest.horaire.ModeleHoraire']/field[@source='mWebAffEnCours']
class-field,gest.horaire.ModeleHoraire,mWebEnCoursTousUtilVisible,webEnCoursTousUtilVisible,webEnCoursTousUtilVisible,web|En|Tous|Util,/classes/class[@source='gest.horaire.ModeleHoraire']/field[@source='mWebEnCoursTousUtilVisible']
class-field,gest.horaire.ParamHoraire,mDernChkSumFichSite,dernChkSumFichSite,dernChkSumFichSite,dern|Chk|Sum|Fich|Site,/classes/class[@source='gest.horaire.ParamHoraire']/field[@source='mDernChkSumFichSite']
class-field,gest.horaire.ParamHoraire,mDestUNC,destUNC,destinationUnc,UNC,/classes/class[@source='gest.horaire.ParamHoraire']/field[@source='mDestUNC']
class-field,gest.horaire.ParamHoraire,mTypeDest,typeDest,typeDestination,type,/classes/class[@source='gest.horaire.ParamHoraire']/field[@source='mTypeDest']
class-field,gest.horaire.ParamHoraire,mURLPourUNC,urlPourUNC,urlPourUnc,url|Pour|UNC,/classes/class[@source='gest.horaire.ParamHoraire']/field[@source='mURLPourUNC']
class-field,gest.horaire.ParamHoraire,mIDLogo,idLogo,idLogo,Logo,/classes/class[@source='gest.horaire.ParamHoraire']/field[@source='mIDLogo']
class-field,gest.intervention.CarteAppel,mByteXML,byteXML,byteXml,byte|XML,/classes/class[@source='gest.intervention.CarteAppel']/field[@source='mByteXML']
class-field,gest.intervention.CarteAppel,mDateFichier,dateFichier,dateFichier,date,/classes/class[@source='gest.intervention.CarteAppel']/field[@source='mDateFichier']
class-field,gest.intervention.CarteAppel,mNoAppel,noAppel,noAppel,no,/classes/class[@source='gest.intervention.CarteAppel']/field[@source='mNoAppel']
class-field,gest.intervention.CarteAppel,mNomFichier,nomFichier,nomFichier,nom,/classes/class[@source='gest.intervention.CarteAppel']/field[@source='mNomFichier']
class-field,gest.intervention.IntervCauseIncendie,mLieuOrigine,lieuOrigine,lieuOrigine,lieu,/classes/class[@source='gest.intervention.IntervCauseIncendie']/field[@source='mLieuOrigine']
class-field,gest.intervention.IntervCauseIncendie,mLieuOrigineDesc,lieuOrigineDesc,lieuOrigineDescription,lieu,/classes/class[@source='gest.intervention.IntervCauseIncendie']/field[@source='mLieuOrigineDesc']
class-field,gest.intervention.IntervCauseIncendie,mModeInflammationDesc,modeInflammationDesc,modeInflammationDescription,mode,/classes/class[@source='gest.intervention.IntervCauseIncendie']/field[@source='mModeInflammationDesc']
class-field,gest.intervention.IntervCauseIncendie,mPremMatDesc,premMatDesc,premMatDescription,prem|Mat,/classes/class[@source='gest.intervention.IntervCauseIncendie']/field[@source='mPremMatDesc']
class-field,gest.intervention.IntervCauseIncendie,mPremMatEnflamme,premMatEnflamme,premMatEnflamme,prem|Mat,/classes/class[@source='gest.intervention.IntervCauseIncendie']/field[@source='mPremMatEnflamme']
class-field,gest.intervention.IntervCauseIncendie,mIDModeInflammation,idModeInflammation,idModeInflammation,Mode,/classes/class[@source='gest.intervention.IntervCauseIncendie']/field[@source='mIDModeInflammation']
class-field,gest.intervention.IntervChronologie,mArriveePremVehicule,arriveePremVehicule,arriveePremVehicule,Prem,/classes/class[@source='gest.intervention.IntervChronologie']/field[@source='mArriveePremVehicule']
class-field,gest.intervention.IntervChronologie,mDateAnnule,dateAnnule,dateAnnule,date,/classes/class[@source='gest.intervention.IntervChronologie']/field[@source='mDateAnnule']
class-field,gest.intervention.IntervEnquete,mDateRemis,dateRemis,dateRemis,date,/classes/class[@source='gest.intervention.IntervEnquete']/field[@source='mDateRemis']
class-field,gest.intervention.IntervEnquete,mRemisA,remisA,remisA,A,/classes/class[@source='gest.intervention.IntervEnquete']/field[@source='mRemisA']
class-field,gest.intervention.IntervEnquete,mIDRemisPar,idRemisPar,idRemisPar,Par,/classes/class[@source='gest.intervention.IntervEnquete']/field[@source='mIDRemisPar']
class-field,gest.intervention.IntervIntervEntraide,mHreAppel,hreAppel,hreAppel,hre,/classes/class[@source='gest.intervention.IntervIntervEntraide']/field[@source='mHreAppel']
class-field,gest.intervention.IntervIntervEntraide,mHreArrivee,hreArrivee,hreArrivee,hre,/classes/class[@source='gest.intervention.IntervIntervEntraide']/field[@source='mHreArrivee']
class-field,gest.intervention.IntervIntervEntraide,mHreDepart,hreDepart,hreDepart,hre,/classes/class[@source='gest.intervention.IntervIntervEntraide']/field[@source='mHreDepart']
class-field,gest.intervention.IntervIntervEquipe,mHeureDispCaserne,heureDispCaserne,heureDispCaserne,Disp,/classes/class[@source='gest.intervention.IntervIntervEquipe']/field[@source='mHeureDispCaserne']
class-field,gest.intervention.IntervIntervEquipe,mHeureEnRoute,heureEnRoute,heureEnRoute,En,/classes/class[@source='gest.intervention.IntervIntervEquipe']/field[@source='mHeureEnRoute']
class-field,gest.intervention.IntervIntervEquipe,mHeureLieu,heureLieu,heureLieu,Lieu,/classes/class[@source='gest.intervention.IntervIntervEquipe']/field[@source='mHeureLieu']
class-field,gest.intervention.IntervIntervEquipe,mNbrIntervDansVeh,nbrIntervDansVeh,nombreInterventionDansVeh,Dans|Veh,/classes/class[@source='gest.intervention.IntervIntervEquipe']/field[@source='mNbrIntervDansVeh']
class-field,gest.intervention.IntervIntervRessource,mHeureTravailFait,heureTravailFait,heureTravailFait,Fait,/classes/class[@source='gest.intervention.IntervIntervRessource']/field[@source='mHeureTravailFait']
class-field,gest.intervention.IntervIntervenant,mInfoIntervEmployeSupp,infoIntervEmployeSupp,informationInterventionEmployeSupp,Supp,/classes/class[@source='gest.intervention.IntervIntervenant']/field[@source='mInfoIntervEmployeSupp']
class-field,gest.intervention.IntervIntervenant,mVectIntervEquipeSupp,listeIntervEquipeSupp,listeInterventionEquipeSupp,Supp,/classes/class[@source='gest.intervention.IntervIntervenant']/field[@source='mVectIntervEquipeSupp']
class-field,gest.intervention.IntervMateriel,mIDTypeEquipement,idTypeEquipement,idTypeEquipement,Type,/classes/class[@source='gest.intervention.IntervMateriel']/field[@source='mIDTypeEquipement']
class-field,gest.intervention.IntervMemoFacturation,mVectMemoFacturation,listeMemoFacturation,listeMemoFacturation,Memo,/classes/class[@source='gest.intervention.IntervMemoFacturation']/field[@source='mVectMemoFacturation']
class-field,gest.intervention.IntervPrevention,mAvisEmis,avisEmis,avisEmis,avis|Emis,/classes/class[@source='gest.intervention.IntervPrevention']/field[@source='mAvisEmis']
class-field,gest.intervention.IntervPrevention,mDateRemis,dateRemis,dateRemis,date,/classes/class[@source='gest.intervention.IntervPrevention']/field[@source='mDateRemis']
class-field,gest.intervention.IntervPrevention,mTypeAvis,typeAvis,typeAvis,type|Avis,/classes/class[@source='gest.intervention.IntervPrevention']/field[@source='mTypeAvis']
class-field,gest.intervention.IntervProtection,mNoteAvertFonctionne,noteAvertFonctionne,noteAvertFonctionne,note,/classes/class[@source='gest.intervention.IntervProtection']/field[@source='mNoteAvertFonctionne']
class-field,gest.intervention.IntervProtection,mNoteExtinctionFonctionne,noteExtinctionFonctionne,noteExtinctionFonctionne,note,/classes/class[@source='gest.intervention.IntervProtection']/field[@source='mNoteExtinctionFonctionne']
class-field,gest.intervention.IntervProtection,mNoteSystAlarmeFonctionne,noteSystAlarmeFonctionne,noteSystAlarmeFonctionne,note|Syst,/classes/class[@source='gest.intervention.IntervProtection']/field[@source='mNoteSystAlarmeFonctionne']
class-field,gest.intervention.IntervProtection,mIDSystAlarmeFonctionne,idSystAlarmeFonctionne,idSystAlarmeFonctionne,Syst,/classes/class[@source='gest.intervention.IntervProtection']/field[@source='mIDSystAlarmeFonctionne']
class-field,gest.intervention.IntervRemiseProp,mDateLibere,dateLibere,dateLibere,date,/classes/class[@source='gest.intervention.IntervRemiseProp']/field[@source='mDateLibere']
class-field,gest.intervention.IntervRemiseProp,mRemisA,remisA,remisA,A,/classes/class[@source='gest.intervention.IntervRemiseProp']/field[@source='mRemisA']
class-field,gest.intervention.IntervSourceChaleur,mCie,cie,cie,cie,/classes/class[@source='gest.intervention.IntervSourceChaleur']/field[@source='mCie']
class-field,gest.intervention.IntervVehAccident,mDemandePar,demandePar,demandePar,Par,/classes/class[@source='gest.intervention.IntervVehAccident']/field[@source='mDemandePar']
class-field,gest.intervention.IntervVehAccident,mGenererFormSAAQ,genererFormSAAQ,genererFormSaaq,Form|SAAQ,/classes/class[@source='gest.intervention.IntervVehAccident']/field[@source='mGenererFormSAAQ']
class-field,gest.intervention.IntervVehAccident,mMntBase,mntBase,mntBase,mnt|Base,/classes/class[@source='gest.intervention.IntervVehAccident']/field[@source='mMntBase']
